Username,Like_Count,Created_At,Comment
j1yuu8,1,2026-01-03 22:46:40,ima just get a rich partner 😭🙏/jk obv
kelly.jaghab,1,2026-01-03 22:23:49,Being a human
m.leavitt17,1,2026-01-03 21:12:55,HVAC
thatgirlme123,1,2026-01-03 20:30:48,Military
j.walk007,1,2026-01-03 20:15:01,McDonald’s
luv..bl.gl,3,2025-12-27 19:54:35,Hi I’m that person started off janitor (7yrs) now I’m a plane mechanic(3yrs)😁
cassidylifts,3,2025-12-27 19:04:02,Avoid anything AI will replace in the next 5 years
ih8tiktok46,4,2025-12-24 01:03:59,I love NoGatekeepingTok ❤️
bvalente04,3,2025-12-30 23:00:52,get your cdl and work for civil commercial you j drive and sit a job easiest 6 figures
thts430,1,2026-01-03 14:35:06,TV
isobo1,3,2025-12-27 03:02:57,GOD bless everyone
retroazalea_,4,2025-12-23 09:04:29,Gambling
klairespriv_,1,2026-01-03 14:24:22,genuinely have no specific interests i just want me some good money
joy_whale,4,2025-12-23 07:22:47,gambling
romanwncuwy,2,2025-12-30 17:09:09,Y’all playing but im deadahh
_www.pp,2,2025-12-30 17:02:40,"You look like a dentist or doctor, try a dentist practitioner, you barely need any schooling and makes loadss"
maladroit4everbabyyy,3,2025-12-26 21:23:21,pharmacist low key
tapinophobic,3,2025-12-26 20:53:42,If your work ethic is good try sales
vantizz0,1,2026-01-03 11:27:44,Gambling
abcdefghijklmps_,4,2025-12-22 18:08:30,Will come back to check for options haha
turtleshrugged,3,2025-12-26 14:59:03,"people saying ""healthcare"" with no passion is wild. tradework is where it's at."
littlefitzy80,3,2025-12-26 14:45:36,Try working on an oil rig
dylanculani,1,2026-01-03 04:00:32,Sales
camvrse,1,2026-01-03 02:48:38,Lobotomy worked for me
rhyv_rhylie,1,2026-01-02 23:17:41,a cashier
tortang_sigbin,1,2026-01-02 22:05:58,sorry but isn't that crazy how there are people with no passion? i mean that serves as our purpose and all that is the reason we are motivated in living life
braychampayne,1,2026-01-02 21:04:15,The only right answer is sales😭
cringemaster0826,1,2026-01-02 21:01:41,call center HAHAHA
makayla.js,0,2026-01-07 07:53:02,Marketing
kylodagoat,29,2025-12-05 16:16:13,Underwater basket weaving
imbatman_0001,194,2025-12-22 19:06:03,crazy how no one said real estate agent
haleypiller16,1846,2025-12-05 17:42:38,Suggesting healthcare to someone with no passion for it sounds like a setup
kimberlly.santana_,667,2025-12-06 01:18:38,
wellness_with_arianna,24,2025-12-15 20:12:36,"Cybersecurity- remote, good salary growth, good benefits"
sophiasunnyd,207,2025-12-25 19:20:25,"okay LOWK working in the cruise industry. you have insanely long days, but you also dont have to worry about rent, food, healthcare, car, and! you get to travel !!!"
ramlamrel,14,2025-12-23 22:19:49,dude entry level sonographers get paid 60k per month 🫩
etherialfox,12,2025-12-05 00:12:56,Flight attendants
mvxcin,6,2025-12-25 23:13:29,What graphy yall are talking about 🧍
maeelc,154,2025-12-19 13:52:25,idk im a serial job quitter and currently unemployed and depressed ✨✨
firealprisha,902,2025-12-11 13:11:41,You guys joking around but I’m deaduzz srs about this💔
michael17965,3,2025-12-26 20:39:44,Be a server at a fancy restaurant
fernandajc333,3,2025-12-26 17:18:57,Why dos everyone say some type of healthcare! I literally feel the same way as him and WILL NEVER GET INTO THAT FIELD. Like AT all! You need to have passion and willingness to go to some school for something u don’t even like lol like Sonography! School is hard don’t let them lie to u
junksshawn,3,2025-12-04 13:03:04,background acting
boonbillybinkbong,4,2025-12-04 01:32:12,even tho i wouldn’t do it the easiest answer to this question is unfortunately dorn
pablo76788,3,2025-12-04 00:01:18,Just come to trade
hdemeny18,3,2025-12-14 17:50:04,"Banquet server/bartender. Banquets ONLY not restaurants, huge difference"
amanda.please65,3,2025-12-03 12:46:01,landlord
ohmartinn,2,2025-12-25 20:54:19,Boxing at this point call out Jake Paul and Lose or something
louisattrill.99,4,2025-12-09 03:14:17,Miami method ✌️
rich.potatox,2,2025-12-06 00:28:35,welding trust
allfourskinotip1,5,2025-12-03 18:18:10,I’m a street pharmacist
dylan_t0823,3,2025-12-03 23:07:23,Keep doing what ur doing
thomaslacheros06,3,2025-12-03 17:55:44,Life insurance
253_rex,3,2025-12-03 15:33:02,Roofing
iman183690,1,2025-12-09 07:02:21,is dentistry not one??
gblack2752,3,2025-12-18 18:42:51,Gambling
vinny_d2,3,2025-12-18 17:00:37,Stay at home dad
grillmastersmooth,3,2025-12-12 04:37:09,Mortician
kate_seacret67,4,2025-12-11 15:32:38,Scroll on tiktok
brad.palmer419,3,2025-12-12 00:17:42,politician
sv.stefan_,5,2025-12-10 16:19:14,Anesthesiology is lowk easy✌
amir_aa48,3,2025-12-09 21:30:24,Investment banking?
aritakesafatdump,4,2026-01-05 21:46:34,"I have passions, just none of them make $😭"
madibishoppp,4,2025-12-08 05:46:24,Jail
_akhaia,4,2025-12-06 19:37:14,nothing tbh
almonddttofu,5,2025-12-04 18:33:24,Air traffic control
mr.1ively,3,2025-12-05 00:21:11,"Working, hope this helps"
pyro__69,4,2025-12-03 16:41:55,Best advice I’ve gotten “never make ur dreams or passion ur job”
notgangaffiliatedbenji,3,2025-12-04 03:09:11,"CNC operator, I’m 17 and make 22 an hour, I started 3 months ago"
devonisluved15,5,2025-12-04 01:16:17,Merchant marine
benchfairy28,3,2025-12-03 18:12:40,Sales
mcgriddle10,3,2025-12-04 02:26:48,road running
kalogeras.sister849,1,2026-01-06 21:53:53,Police dispatcher
josiah.udell7,3,2025-12-03 16:13:08,Sports betting my guy!!💪
gailthewokyfrog,1,2026-01-06 21:46:57,City mail carrier
crz__414,3,2025-12-03 15:16:46,Big risk take out loan by a rundown house or a house yk you can fix and even add a room fix it do everything you need to do rent it or sell it repeat
calmestnation_official,3,2025-12-03 12:18:36,red bull stuntman
..g3lo,2,2025-12-03 12:02:24,Gambling
idislikecoonz,1,2026-01-06 21:36:58,steel mills
rai_jazmine11,1,2026-01-06 21:16:44,Stocks
senseifilth,1,2026-01-06 18:18:58,residential mortgage loan origination
alexinchains850,1,2026-01-06 17:54:56,Data entry bro it’s just hella boring but usually pays well
davecoh,1,2026-01-06 17:51:08,Sales
barnacle_cleric,2,2026-01-05 22:58:02,president
uglygod0525,1,2026-01-06 15:11:08,HVAC
enzostokes,2,2026-01-06 13:46:33,neurosurgeon
user818838474792,1,2026-01-06 12:18:51,"I’m a fire alarm inspector…i turn my brain off, walk around and test stuff"
valentin.the.mach,3,2026-01-04 19:24:51,Professional lottery ticket winner
marqymarqi,1,2026-01-06 11:43:31,Welding
paigeypeanutz,1,2026-01-06 09:50:40,server 🤷‍♀️
b26673990,1,2026-01-06 08:32:38,Trades🙏
playboycartilage,2,2026-01-05 02:00:49,probably insurance brochacho or uhhhhhhhh
sahelpanthila,1,2026-01-06 04:00:22,
